release;commits;files;developers;authors;authorsRatio
v2.6.12; 66328;15893; 1644; 432;0.2739378
v2.6.13; 70502;16526; 1827; 490;0.2795208
v2.6.14; 74433;16824; 1983; 527;0.2769312
v2.6.15; 79843;17145; 2168; 551;0.2647766
v2.6.16; 85577;17523; 2363; 587;0.2588183
v2.6.17; 91690;17790; 2553; 633;0.2592138
v2.6.18; 98481;18320; 2782; 687;0.2573998
v2.6.19;105554;19014; 3010; 764;0.2647262
v2.6.20;110537;19326; 3165; 799;0.2629154
v2.6.21;115886;19598; 3354; 847;0.2627986
v2.6.22;122726;20309; 3569; 906;0.2645255
v2.6.23;129801;20409; 3776; 949;0.2622996
v2.6.24;140154;20882; 3988; 981;0.2566048
v2.6.25;152861;21497; 4295;1066;0.2590522
v2.6.26;163348;21882; 4519;1124;0.2597043
v2.6.27;174719;21839; 4715;1174;0.2608309
v2.6.28;184503;22593; 4966;1260;0.2658228
v2.6.29;197029;23833; 5233;1356;0.2714171
v2.6.30;210037;24915; 5475;1451;0.2771729
v2.6.31;221750;25971; 5742;1523;0.2770098
v2.6.32;233556;27052; 6020;1591;0.2758322
v2.6.33;245240;27959; 6259;1665;0.2779633
v2.6.34;255373;28598; 6475;1719;0.2773923
v2.6.35;265860;29510; 6741;1796;0.2785792
v2.6.36;276033;30381; 6984;1860;0.2784431
v2.6.37;288240;31183; 7262;1941;0.2798846
v2.6.38;298633;31794; 7496;2006;0.2804418
v2.6.39;309664;32514; 7736;2084;0.2825380
v3.0;319507;32537; 7931;2133;0.2825540
v3.1;328887;32704; 8151;2181;0.2809481
v3.2;341582;33049; 8406;2218;0.2770422
v3.3;352998;33317; 8604;2265;0.2763543
v3.4;364827;33630; 8836;2318;0.2752969
v3.5;376599;33939; 9018;2369;0.2760429
v3.6;387729;34409; 9238;2418;0.2749602
v3.7;400734;35280; 9442;2438;0.2713109
v3.8;414260;35652; 9643;2491;0.2715282
v3.9;427216;36384; 9883;2557;0.2722820
v3.10;441953;36738;10128;2606;0.2706127
v3.11;453804;37468;10325;2674;0.2726902
v3.12;465710;37917;10547;2714;0.2712915
v3.13;478998;38094;10758;2746;0.2693213
v3.14;492413;38641;10995;2812;0.2696328
v3.15;507284;39157;11246;2861;0.2681349
v3.16;521114;39504;11511;2907;0.2661600
v3.17;534445;39352;11768;2909;0.2619305
v3.18;546806;39599;12028;2958;0.2607086
v3.19;560458;39880;12271;2997;0.2596154
v4.0;571764;40169;12538;3051;0.2587347
v4.1;584729;40366;12809;3104;0.2576575
v4.2;599479;41241;13082;3183;0.2587174
